,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
220,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,70,-20
221,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,71,-48
222,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,72,6
223,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,73,-83
224,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,74,60
225,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,75,-18
226,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,76,34
227,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,77,114
228,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,78,34
229,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,79,33
230,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,80,61
231,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,81,51
232,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,82,20
233,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,83,59
234,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,84,8
235,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,85,47
236,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,86,24
237,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,87,91
238,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,88,-60
239,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,89,-37
240,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,90,-47
241,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,91,-44
242,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,92,-39
243,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,93,-31
244,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,94,16
245,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,95,-49
246,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,96,26
247,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,97,72
248,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,98,19
249,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,99,74
